route_id,route_short_name,route_long_name,route_type
STIB-1,1,GARE DE L'OUEST - STOCKEL,METRO
STIB-3,2,SIMONIS - ELISABETH,METRO
STIB-5,4,GARE DU NORD - STALLE (P),TRAM
STIB-2,5,ERASME - HERRMANN-DEBROUX,METRO
STIB-4,6,ROI BAUDOUIN - ELISABETH,METRO
STIB-6,7,VANDERKINDERE - HEYSEL,TRAM
STIB-7,8,LOUISE - ROODEBEEK,TRAM
STIB-9,9,GROOT-BIJGAARDEN - ROI BAUDOUIN,TRAM
STIB-13,10,HOPITAL MILITAIRE - CHURCHILL,TRAM
STIB-15,12,BRUSSELS AIRPORT - BRUSSELS CITY,BUS
STIB-17,13,ETANGS NOIRS - UZ-VUB,BUS
STIB-18,14,UZ-VUB - GARE DU NORD,BUS
STIB-19,17,BEAULIEU - HEILIGENBORRE,BUS
STIB-20,18,ALBERT - VAN HAELEN,TRAM
STIB-12,19,SIMONIS - DE WAND,TRAM
STIB-21,20,HUNDERENVELD - GARE DU NORD,BUS
STIB-16,21,MAES - LUXEMBOURG,BUS
STIB-22,25,BOONDAEL GARE - ROGIER,TRAM
STIB-24,27,LUXEMBOURG - PLEIADES,BUS
STIB-25,28,BRABANCONNE - KONKEL,BUS
STIB-27,29,DE BROUCKERE - HOF TEN BERG,BUS
STIB-29,33,DANSAERT - LOUISE,BUS
STIB-30,34,PORTE DE NAMUR - SAINTE-ANNE,BUS
STIB-31,35,DOCKS BRUXSEL - ESPLANADE,TRAM
STIB-26,36,MAELBEEK - KONKEL,BUS
STIB-32,37,ALBERT - GARE DE LINKEBEEK,BUS
STIB-33,38,GARE CENTRALE - HEROS,BUS
STIB-34,39,MONTGOMERY - BAN-EIK,TRAM
STIB-36,41,HEROS - TRANSVAAL,BUS
STIB-38,42,ROODEBEEK - VIADUC E40,BUS
STIB-39,43,OBSERVATOIRE - VIVIER D'OIE,BUS
STIB-37,45,ROODEBEEK - SAINT-VINCENT,BUS
STIB-28,46,MOORTEBEEK - PANNENHUIS,BUS
STIB-40,47,HEEMBEEK - VILVOORDE STATION,BUS
STIB-41,48,ANNEESSENS - DECROLY,BUS
STIB-42,49,GARE DU MIDI - SIMONIS,BUS
STIB-43,50,GARE DU MIDI - LOT STATION,BUS
STIB-11,51,STADE - GARE DU MIDI,TRAM
STIB-44,52,GARE CENTRALE - FOREST (BERVOETS),BUS
STIB-45,53,WESTLAND SHOPPING - HOPITAL MILITAIRE,BUS
STIB-46,54,TRONE - FOREST (BERVOETS),BUS
STIB-23,55,DA VINCI - ROGIER,TRAM
STIB-47,56,SCHUMAN - BUDA,BUS
STIB-48,58,VILVOORDE STATION - ALBERT II,BUS
STIB-49,59,HOPITAL ETTERBEEK-IXELLES - BORDET STATION,BUS
STIB-50,60,AMBIORIX - UCCLE CALEVOET,BUS
STIB-51,61,GARE DU NORD - MONTGOMERY,BUS
STIB-14,62,EUROCONTROL - HEYSEL,TRAM
STIB-52,63,GARE CENTRALE - CIMETIERE DE BRUXELLES,BUS
STIB-54,64,PORTE DE NAMUR - BORDET STATION,BUS
STIB-55,65,GARE CENTRALE - MACHELEN,BUS
STIB-56,66,GARE CENTRALE - PEAGE,BUS
STIB-57,69,SCHAERBEEK GARE - JULES BORDET,BUS
STIB-58,71,DE BROUCKERE - DELTA,BUS
STIB-59,72,ULB - ADEPS,BUS
STIB-60,73,CERIA - GARE DU MIDI,BUS
STIB-61,74,UCCLE-STALLE - CLEMENCE EVERARD,BUS
STIB-62,75,HEROS - BON AIR,BUS
STIB-64,76,KRAAINEM - OPPEM,BUS
STIB-65,77,KRAAINEM - HIPPODROME,BUS
STIB-66,78,HUMANITE - GARE DU MIDI,BUS
STIB-67,79,KRAAINEM - SCHUMAN,BUS
STIB-53,80,PORTE DE NAMUR - HAREN,BUS
STIB-35,81,MARIUS RENARD - MONTGOMERY,TRAM
STIB-10,82,GARE DE BERCHEM - DROGENBOS,TRAM
STIB-68,83,GARE DE BERCHEM - VAL MARIA,BUS
STIB-69,86,MACHTENS - BOCKSTAEL,BUS
STIB-70,87,SIMONIS - BEEKKANT,BUS
STIB-71,88,DE BROUCKERE - UZ-VUB,BUS
STIB-63,89,WESTLAND SHOPPING - GARE CENTRALE,BUS
STIB-72,92,SCHAERBEEK GARE - FORT-JACO,TRAM
STIB-8,93,STADE - LEGRAND,TRAM
STIB-73,95,GRAND-PLACE - WIENER,BUS
STIB-74,97,LOUISE - DIEWEG,TRAM
STIB-90,M5,ERASME - HERRMANN-DEBROUX,BUS
STIB-87,T9,GROOT-BIJGAARDEN - ROI BAUDOUIN,BUS
STIB-88,T44,MONTGOMERY - TERVUREN STATION,BUS
STIB-89,T92,SCHAERBEEK GARE - FORT-JACO,BUS
STIB-76,N04,GARE CENTRALE - CIMETIERE DE BRUXELLES,BUS
STIB-75,N05,GARE CENTRALE - KRAAINEM,BUS
STIB-77,N06,GARE CENTRALE - MUSEE DU TRAM,BUS
STIB-79,N08,GARE CENTRALE - WIENER,BUS
STIB-78,N09,GARE CENTRALE - HERRMANN-DEBROUX,BUS
STIB-80,N10,GARE CENTRALE - FORT-JACO,BUS
STIB-82,N11,GARE CENTRALE - HOMBORCH,BUS
STIB-81,N12,GARE CENTRALE - STALLE P,BUS
STIB-83,N13,GARE CENTRALE - WESTLAND SHOPPING,BUS
STIB-84,N16,GARE CENTRALE - GARE DE BERCHEM,BUS
STIB-85,N18,GARE CENTRALE - HEYSEL,BUS
STIB-86,NAV,CERIA - FOREST NATIONAL,BUS
