stop_id,stop_name,stop_lat,stop_lon
STIB-0089,MONTGOMERY,50.838006,4.40897
STIB-0470F,SIMONIS,50.863666,4.329612
STIB-0471,SIMONIS,50.863732,4.329236
STIB-0472,SIMONIS,50.863543,4.329023
STIB-0473F,SIMONIS,50.863418,4.330031
STIB-0501,DE BROUCKERE,50.851494,4.352876
STIB-0506,DE BROUCKERE,50.851746,4.353415
STIB-0511,ROGIER,50.855635,4.35804
STIB-0516,ROGIER,50.855933,4.358494
STIB-0521,GARE DU NORD,50.860134,4.359946
STIB-0526,GARE DU NORD,50.860718,4.3605
STIB-0520167,1 - Gare SNCB,50.860529,4.359407
STIB-0529,ROGIER,50.856232,4.358726
STIB-0531,GARE DU NORD,50.860053,4.359662
STIB-0536,GARE DU NORD,50.860763,4.360273
STIB-0539,ROGIER,50.856097,4.358569
STIB-0601,BOURSE,50.847772,4.348972
STIB-0606,BOURSE,50.848086,4.349455
STIB-0600166,1 - Boulevard Anspach,50.848662,4.35015
STIB-0600266,2 - Boulevard Anspach,50.848662,4.35015
STIB-0600366,3 - Bourse,50.847655,4.349128
STIB-0600466,4 - Bourse,50.847655,4.349128
STIB-0600566,5 - Boulevard Anspach,50.847232,4.348688
STIB-0600666,6 - Boulevard Anspach,50.847232,4.348688
STIB-0600766,7 - Boulevard Anspach,50.84734,4.348419
STIB-0600866,8 - Boulevard Anspach,50.84734,4.348419
STIB-0600966,9 - Bourse,50.847898,4.349
STIB-0601066,10 - Bourse,50.847898,4.349
STIB-0601166,11 - Place de la Bourse,50.848248,4.349157
STIB-0601266,12 - Boulevard Anspach,50.848797,4.349952
STIB-0611,ANNEESSENS,50.844184,4.345254
STIB-0616,ANNEESSENS,50.84449,4.345736
STIB-0610165,1 - Place Anneessens,50.843789,4.345183
STIB-0610265,2 - Place Anneessens,50.843483,4.344927
STIB-0610365,3 - Rue de Tournai,50.843051,4.344558
STIB-0610465,4 - Boulevard Maurice Lemonnier,50.843222,4.344132
STIB-0610565,5 - Place Anneessens,50.843681,4.344515
STIB-0610665,6 - Place Anneessens,50.843905,4.344728
STIB-0621,LEMONNIER,50.840084,4.341039
STIB-0626,LEMONNIER,50.840399,4.341408
STIB-0620164,1 - Boulevard Maurice Lemonnier,50.840345,4.341181
STIB-0631,GARE DU MIDI,50.836497,4.337946
STIB-0636,GARE DU MIDI,50.836811,4.337407
STIB-0702,GARE DU MIDI,50.836353,4.338259
STIB-0703,PORTE DE HAL,50.832547,4.342972
STIB-0704,PARVIS ST-GILLES,50.829721,4.346537
STIB-0705,HORTA,50.825702,4.34549
STIB-0706,ALBERT,50.82109,4.343888
STIB-0711F,ALBERT,50.820802,4.340965
STIB-0712F,ALBERT,50.821021,4.341497
STIB-0722,ALBERT,50.822303,4.343561
STIB-0670161,1 - Avenue Jupiter,50.820936,4.341334
STIB-0670261,2 - Avenue Besme,50.821728,4.342015
STIB-0670361,3 - Avenue Albert,50.82153,4.342994
STIB-0723,HORTA,50.826043,4.345887
STIB-0660162,1 - Chaussée de Waterloo,50.826439,4.346469
STIB-0660262,2 - Chaussée de Waterloo,50.826115,4.345915
