trip_id,route_id
STIB-124698409288866001,STIB-15
STIB-124698410288866001,STIB-15
STIB-124698411288866001,STIB-15
STIB-124698412288866001,STIB-15
STIB-124698413288866001,STIB-15
STIB-124698414288866001,STIB-15
STIB-124698415288866001,STIB-15
STIB-124698416288866001,STIB-16
STIB-124698417288866001,STIB-15
STIB-124698418288866001,STIB-15
STIB-124698419288866001,STIB-15
STIB-124698420288866001,STIB-15
STIB-124698421288866001,STIB-15
STIB-124698422288866001,STIB-15
STIB-124698423288866001,STIB-15
STIB-124698424288866001,STIB-16
STIB-124698425288866001,STIB-15
STIB-124698426288866001,STIB-15
STIB-124698427288866001,STIB-15
STIB-124698428288866001,STIB-15
STIB-124698429288866001,STIB-15
STIB-124698430288866001,STIB-15
STIB-124698431288866001,STIB-15
STIB-124698432288866001,STIB-15
STIB-124698433288866001,STIB-15
STIB-124698434288866001,STIB-15
STIB-124698435288866001,STIB-15
STIB-124698436288866001,STIB-15
STIB-124698437288866001,STIB-15
STIB-124698438288866001,STIB-15
STIB-124698439288866001,STIB-15
STIB-124698440288866001,STIB-15
STIB-124698441288866001,STIB-15
STIB-124698442288866001,STIB-15
STIB-124698443288866001,STIB-15
STIB-124698444288866001,STIB-15
STIB-124698445288866001,STIB-15
STIB-124698446288866001,STIB-15
STIB-124698447288866001,STIB-15
STIB-124698448288866001,STIB-15
STIB-124698449288866001,STIB-15
STIB-124698450288866001,STIB-15
STIB-124698451288866001,STIB-15
STIB-124698452288866001,STIB-15
STIB-124698453288866001,STIB-15
STIB-124698454288866001,STIB-15
STIB-124698455288866001,STIB-15
STIB-124698456288866001,STIB-15
STIB-124698457288866001,STIB-15
STIB-124698458288866001,STIB-15
STIB-124698459288866001,STIB-15
STIB-124698460288866001,STIB-15
STIB-124698461288866001,STIB-15
STIB-124698462288866001,STIB-15
STIB-124698463288866001,STIB-15
STIB-124698464288866001,STIB-15
STIB-124698468288866001,STIB-15
STIB-124698469288866001,STIB-15
STIB-124698470288866001,STIB-15
STIB-124698471288866001,STIB-15
STIB-124698472288866001,STIB-15
STIB-124698473288866001,STIB-15
STIB-124698474288866001,STIB-15
STIB-124698475288866001,STIB-15
STIB-124698476288866001,STIB-15
STIB-124698477288866001,STIB-15
STIB-124698478288866001,STIB-15
STIB-124698479288866001,STIB-15
STIB-124698480288866001,STIB-15
STIB-124698482288866001,STIB-15
STIB-124698483288866001,STIB-15
STIB-124698485288866001,STIB-15
STIB-124698486288866001,STIB-15
STIB-124698488288866001,STIB-15
STIB-124698489288866001,STIB-15
STIB-124698491288866001,STIB-15
STIB-124698492288866001,STIB-15
STIB-124698495288866001,STIB-15
STIB-124698496288866001,STIB-15
STIB-124698498288866001,STIB-15
STIB-124698499288866001,STIB-15
STIB-124698500288866001,STIB-15
STIB-124698502288866001,STIB-15
STIB-124698503288866001,STIB-15
STIB-124698504288866001,STIB-15
STIB-124698505288866001,STIB-15
STIB-124698506288866001,STIB-15
STIB-124698507288866001,STIB-15
STIB-124698508288866001,STIB-15
STIB-124698509288866001,STIB-15
STIB-124698510288866001,STIB-15
STIB-124698511288866001,STIB-15
STIB-124698512288866001,STIB-15
STIB-124698513288866001,STIB-15
STIB-124698514288866001,STIB-15
STIB-124698515288866001,STIB-15
STIB-124698516288866001,STIB-15
STIB-124698517288866001,STIB-15
STIB-124698518288866001,STIB-15
STIB-124698521288866001,STIB-15
STIB-124698522288866001,STIB-15
STIB-124698523288866001,STIB-15
STIB-124698524288866001,STIB-15
STIB-124698525288866001,STIB-15
STIB-124698526288866001,STIB-15
STIB-124698527288866001,STIB-15
STIB-124698529288866001,STIB-15
STIB-124698530288866001,STIB-15
STIB-124698531288866001,STIB-15
STIB-124698532288866001,STIB-15
STIB-124698533288866001,STIB-15
STIB-124698534288866001,STIB-15
STIB-124698535288866001,STIB-15
STIB-124698538288866001,STIB-15
STIB-124698539288866001,STIB-15
STIB-124698540288866001,STIB-15
STIB-124698541288866001,STIB-15
STIB-124698542288866001,STIB-15
STIB-124698543288866001,STIB-15
STIB-124698545288866001,STIB-15
STIB-124698546288866001,STIB-15
STIB-124698547288866001,STIB-15
STIB-124698548288866001,STIB-15
STIB-124698549288866001,STIB-15
STIB-124698550288866001,STIB-15
STIB-124698551288866001,STIB-15
STIB-124698553288866001,STIB-15
STIB-124698554288866001,STIB-15
STIB-124698555288866001,STIB-15
STIB-124698557288866001,STIB-15
STIB-124698558288866001,STIB-15
STIB-124698559288866001,STIB-15
STIB-124698560288866001,STIB-15
STIB-124698561288866001,STIB-15
STIB-124698562288866001,STIB-15
STIB-124698563288866001,STIB-15
STIB-124698565288866001,STIB-15
STIB-124698566288866001,STIB-15
STIB-124698567288866001,STIB-15
STIB-124698568288866001,STIB-15
STIB-124698569288866001,STIB-15
STIB-124698570288866001,STIB-15
STIB-124698571288866001,STIB-15
STIB-124698572288866001,STIB-15
STIB-124698574288866001,STIB-15
STIB-124698575288866001,STIB-15
STIB-124698576288866001,STIB-15
STIB-124698577288866001,STIB-15
STIB-124698579288866001,STIB-15
STIB-124698580288866001,STIB-15
STIB-124698581288866001,STIB-15
STIB-124698582288866001,STIB-15
STIB-124698584288866001,STIB-15
STIB-124698585288866001,STIB-15
STIB-124698586288866001,STIB-15
STIB-124698587288866001,STIB-15
STIB-124698588288866001,STIB-15
STIB-124698590288866001,STIB-15
STIB-124698591288866001,STIB-15
STIB-124698592288866001,STIB-15
STIB-124698594288866001,STIB-15
STIB-124698597288866001,STIB-15
STIB-124698598288866001,STIB-15
STIB-124698599288866001,STIB-15
STIB-124698600288866001,STIB-15
STIB-124698601288866001,STIB-15
STIB-124698602288866001,STIB-15
STIB-124698603288866001,STIB-15
STIB-124698604288866001,STIB-16
STIB-124698606288866001,STIB-15
STIB-124698607288866001,STIB-15
STIB-124698608288866001,STIB-15
STIB-124698609288866001,STIB-15
STIB-124698610288866001,STIB-15
STIB-124698611288866001,STIB-15
STIB-124698612288866001,STIB-15
STIB-124698613288866001,STIB-16
STIB-124698615288866001,STIB-15
STIB-124698616288866001,STIB-15
STIB-124698617288866001,STIB-15
STIB-124698618288866001,STIB-15
STIB-124698619288866001,STIB-15
STIB-124698620288866001,STIB-16
STIB-124698622288866001,STIB-15
STIB-124698623288866001,STIB-15
STIB-124698624288866001,STIB-15
